#Source directory:   /home/jasmina/Work/TEA/TEA-APJSupp-paper/TEA-paper-runs/test-compendium/CEA-TEA/CEA-outputs/
#Pressure    Temp       *C            CH4           *CO           *H            *H2           H2O           *N            NH3           *N2           *O            
1.00000000   100.00     0.0000e+0     5.3863e-4     0.0000e+0     0.0000e+0     9.9835e-1     9.8015e-4     0.0000e+0     1.3530e-4     0.0000e+0     0.0000e+0     
1.00000000   1000.00    2.847e-32     5.2512e-4     1.3430e-5     2.2692e-9     9.9842e-1     9.6657e-4     2.391e-24     4.7096e-6     6.5284e-5     1.329e-23     
1.00000000   1100.00    1.595e-28     4.2433e-4     1.1411e-4     2.5855e-8     9.9853e-1     8.6569e-4     4.425e-22     2.5920e-6     6.6329e-5     2.848e-21     
1.00000000   1200.00    1.249e-25     2.0871e-4     3.2950e-4     1.9738e-7     9.9874e-1     6.4988e-4     3.433e-20     1.5657e-6     6.6813e-5     2.070e-19     
1.00000000   1300.00    2.054e-23     6.6900e-5     4.7115e-4     1.1067e-6     9.9888e-1     5.0794e-4     1.366e-18     1.0186e-6     6.7067e-5     7.798e-18     
1.00000000   1400.00    1.184e-21     1.8345e-5     5.1965e-4     4.8664e-6     9.9893e-1     4.5934e-4     3.218e-17     7.0349e-7     6.7218e-5     1.964e-16     
1.00000000   1500.00    3.529e-20     5.3203e-6     5.3266e-4     1.7614e-5     9.9893e-1     4.4630e-4     4.983e-16     5.1004e-7     6.7313e-5     3.422e-15     
1.00000000   1600.00    6.667e-19     1.7493e-6     5.3622e-4     5.4408e-5     9.9890e-1     4.4272e-4     5.488e-15     3.8488e-7     6.7373e-5     4.258e-14     
1.00000000   1700.00    8.841e-18     6.5225e-7     5.3729e-4     1.4746e-4     9.9881e-1     4.4160e-4     4.563e-14     3.0025e-7     6.7412e-5     3.965e-13     
1.00000000   1800.00    8.780e-17     2.7164e-7     5.3761e-4     3.5833e-4     9.9859e-1     4.4118e-4     3.002e-13     2.4084e-7     6.7435e-5     2.891e-12     
1.00000000   1900.00    6.845e-16     1.2437e-7     5.3764e-4     7.9407e-4     9.9816e-1     4.4093e-4     1.621e-12     1.9776e-7     6.7442e-5     1.713e-11     
1.00000000   200.00     0.0000e+0     5.3863e-4     0.0000e+0     0.0000e+0     9.9835e-1     9.8015e-4     0.0000e+0     1.3530e-4     6.778e-22     0.0000e+0     
1.00000000   2000.00    4.344e-15     6.1715e-8     5.3748e-4     1.6267e-3     9.9733e-1     4.4069e-4     7.402e-12     1.6560e-7     6.7430e-5     8.514e-11     
1.00000000   2100.00    2.312e-14     3.2795e-8     5.3711e-4     3.1144e-3     9.9584e-1     4.4033e-4     2.927e-11     1.4096e-7     6.7392e-5     3.637e-10     
1.00000000   2200.00    1.056e-13     1.8466e-8     5.3645e-4     5.6229e-3     9.9333e-1     4.3976e-4     1.022e-10     1.2160e-7     6.7317e-5     1.3631e-9     
1.00000000   2300.00    4.224e-13     1.0916e-8     5.3538e-4     9.6424e-3     9.8932e-1     4.3887e-4     3.199e-10     1.0602e-7     6.7189e-5     4.5616e-9     
1.00000000   2400.00    1.502e-12     6.7161e-9     5.3373e-4     1.5799e-2     9.8316e-1     4.3749e-4     9.108e-10     9.3149e-8     6.6987e-5     1.3828e-8     
1.00000000   2500.00    4.812e-12     4.2666e-9     5.3129e-4     2.4857e-2     9.7411e-1     4.3546e-4     2.3843e-9     8.2252e-8     6.6686e-5     3.8445e-8     
1.00000000   2600.00    1.404e-11     2.7774e-9     5.2784e-4     3.7698e-2     9.6128e-1     4.3257e-4     5.7919e-9     7.2780e-8     6.6257e-5     9.9064e-8     
1.00000000   2700.00    3.764e-11     1.8387e-9     5.2311e-4     5.5290e-2     9.4369e-1     4.2855e-4     1.3160e-8     6.4332e-8     6.5661e-5     2.3877e-7     
1.00000000   2800.00    9.338e-11     1.2290e-9     5.1683e-4     7.8626e-2     9.2037e-1     4.2310e-4     2.8158e-8     5.6626e-8     6.4869e-5     5.4262e-7     
1.00000000   2900.00    2.158e-10     8.234e-10     5.0876e-4     1.0863e-1     8.9038e-1     4.1586e-4     5.7056e-8     4.9466e-8     6.3844e-5     1.1707e-6     
1.00000000   300.00     0.0000e+0     5.3863e-4     1.205e-31     4.195e-36     9.9835e-1     9.8015e-4     0.0000e+0     1.3530e-4     4.126e-14     0.0000e+0     
1.00000000   3000.00    4.670e-10     5.491e-10     4.9869e-4     1.4606e-1     8.5297e-1     4.0636e-4     1.1003e-7     4.2734e-8     6.2556e-5     2.4122e-6     
1.00000000   400.00     0.0000e+0     5.3863e-4     1.367e-22     1.332e-26     9.9835e-1     9.8015e-4     0.0000e+0     1.3530e-4     5.048e-10     0.0000e+0     
1.00000000   500.00     0.0000e+0     5.3863e-4     4.786e-17     6.953e-21     9.9835e-1     9.8015e-4     0.0000e+0     1.3494e-4     1.8107e-7     0.0000e+0     
1.00000000   600.00     0.0000e+0     5.3862e-4     2.748e-13     4.620e-17     9.9835e-1     9.8014e-4     0.0000e+0     1.1896e-4     8.1662e-6     0.0000e+0     
1.00000000   700.00     0.0000e+0     5.3859e-4     1.448e-10     2.527e-14     9.9838e-1     9.8008e-4     4.115e-35     5.8223e-5     3.8532e-5     9.237e-35     
1.00000000   800.00     0.0000e+0     5.3856e-4     1.6767e-8     2.896e-12     9.9840e-1     9.8002e-4     1.351e-30     2.2479e-5     5.6402e-5     4.055e-30     
1.00000000   900.00     5.956e-37     5.3787e-4     6.9483e-7     1.169e-10     9.9841e-1     9.7933e-4     4.036e-27     9.6115e-6     6.2835e-5     1.687e-26     
